Startdatum,Starttid,Slutdatum,Sluttid,Kurs,Undervisningstyp,Lokal,Lärare,Studentgrupp,Fria grupper,Information till student,Kartlänk 
2023-01-16,10:15,2023-01-16,12:00,TDP007,Föreläsning,A25,Pontus Haglund,IP1,,Föreläsning 1: Introduktion till kursen och Ruby,
2023-01-17,13:15,2023-01-17,15:00,TDP007,Föreläsning,A35,Pontus Haglund,IP1,,"Föreläsning 2: Reflektioner kring hur man kan jämföra språk, samt några fler Ruby-detaljer (testning, likhet och reguljära uttryck)",
2023-01-17,15:15,2023-01-17,17:00,TDP007,Laboration,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Sopi Abaied",IP1,,,
2023-01-18,10:15,2023-01-18,12:00,TDP007,Laboration,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Sopi Abaied",IP1,,,
2023-01-19,13:15,2023-01-19,15:00,TDP007,Seminarium,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Pontus Haglund,Sopi Abaied",IP1,,Examinerande seminarium,
2023-01-20,10:15,2023-01-20,12:00,TDP007,Föreläsning,KY35,Pontus Haglund,IP1,,Föreläsning 3: BNF och Uppmärkningsspråk,
2023-01-20,13:15,2023-01-20,15:00,TDP007,Laboration,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Sopi Abaied",IP1,,,
2023-01-23,10:15,2023-01-23,12:00,TDP007,Föreläsning,A35,Pontus Haglund,IP1,,Föreläsning 4: Uppmärkningsspråk (forts.),
2023-01-23,13:15,2023-01-23,15:00,TDP007,Laboration,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Sopi Abaied",IP1,,,
2023-01-24,13:15,2023-01-24,15:00,TDP007,Laboration,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Sopi Abaied",IP1,,,
2023-01-25,10:15,2023-01-25,12:00,TDP007,Laboration,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Sopi Abaied",IP1,,,
2023-01-26,10:15,2023-01-26,12:00,TDP007,Laboration,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Sopi Abaied",IP1,,,
2023-01-27,10:15,2023-01-27,12:00,TDP007,Laboration,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Sopi Abaied",IP1,,,
2023-01-30,13:15,2023-01-30,15:00,TDP007,Seminarium,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Pontus Haglund,Sopi Abaied",IP1,,Examinerande seminarium,
2023-01-31,13:15,2023-01-31,15:00,TDP007,Föreläsning,A25,Pontus Haglund,IP1,,Föreläsning 5: Domänspecifika språk,
2023-02-01,08:15,2023-02-01,12:00,TDP007,Dugga,"SU10,SU11,SU12,SU13,SU24,SU25","Aron Nikku,Daniel Huber,Mattias Burman,Pontus Haglund,Sopi Abaied",IP1,,,
2023-02-02,08:15,2023-02-02,10:00,TDP007,Laboration,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Sopi Abaied",IP1,,,
2023-02-02,10:15,2023-02-02,12:00,TDP007,Föreläsning,BL32,Pontus Haglund,IP1,,Föreläsning 6: Parsning,
2023-02-02,13:15,2023-02-02,15:00,TDP007,Laboration,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Sopi Abaied",IP1,,,
2023-02-03,10:15,2023-02-03,12:00,TDP007,Laboration,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Sopi Abaied",IP1,,,
2023-02-06,13:15,2023-02-06,15:00,TDP007,Laboration,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Sopi Abaied",IP1,,,
2023-02-07,08:15,2023-02-07,10:00,TDP007,Laboration,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Sopi Abaied",IP1,,,
2023-02-08,08:15,2023-02-08,10:00,TDP007,Laboration,Studio_IP1,"Aron Nikku,Daniel Huber,Mattias Burman,Sopi Abaied",IP1,,,
